index,x,y,col,row,is_interpolated
7283,584438.6593669077,5789771.992302813,2308,2104,True
7284,584438.2963809384,5789770.624772403,2308,2106,True
7285,584437.9333949691,5789769.257241994,2307,2108,True
7286,584437.5704089997,5789767.889711586,2307,2110,True
7287,584437.2074230304,5789766.522181177,2306,2111,True
7288,584436.8444370611,5789765.154650767,2306,2113,True
7289,584436.4814510918,5789763.787120358,2305,2115,True
7290,584436.1184651225,5789762.419589949,2305,2117,True
7291,584435.7554791531,5789761.0520595405,2304,2119,True
7292,584435.3924931838,5789759.684529131,2304,2121,True
7293,584435.0295072146,5789758.316998722,2303,2123,True
7294,584434.6665212453,5789756.949468313,2303,2124,True
7295,584434.303535276,5789755.5819379045,2302,2126,True
7296,584433.9405493066,5789754.214407495,2302,2128,True
7297,584433.5775633373,5789752.846877086,2301,2130,True
7298,584433.214577368,5789751.479346677,2301,2132,True
7299,584432.8515913987,5789750.111816268,2300,2134,True
7300,584432.4886054294,5789748.744285859,2300,2136,True
7301,584432.12561946,5789747.37675545,2299,2137,True
7302,584431.7626334907,5789746.009225041,2299,2139,True
7303,584431.3996475214,5789744.641694632,2298,2141,True
7304,584431.0366615521,5789743.274164223,2298,2143,True
7305,584430.6736755829,5789741.906633814,2297,2145,True
7306,584430.3106896135,5789740.539103405,2297,2147,True
7307,584429.9477036442,5789739.171572996,2296,2149,True
7308,584429.5847176749,5789737.804042587,2296,2150,True
7309,584429.2217317056,5789736.436512178,2295,2152,True
7310,584428.8587457363,5789735.068981769,2295,2154,True
7311,584428.4957597669,5789733.70145136,2294,2156,True
7312,584428.1327737976,5789732.333920951,2294,2158,True
7313,584427.7697878283,5789730.966390542,2293,2160,False
7314,584427.4088917001,5789729.608561154,2293,2161,True
7315,584427.0479955719,5789728.250731768,2292,2163,True
7316,584426.6870994436,5789726.892902381,2292,2165,True
7317,584426.3262033154,5789725.535072994,2291,2167,True
7318,584425.9653071872,5789724.177243607,2291,2169,True
7319,584425.604411059,5789722.819414221,2290,2171,True
7320,584425.2435149307,5789721.461584833,2290,2172,True
7321,584424.8826188026,5789720.103755446,2289,2174,True
7322,584424.5217226744,5789718.74592606,2289,2176,True
7323,584424.1608265461,5789717.3880966725,2288,2178,True
7324,584423.7999304179,5789716.030267286,2288,2180,True
7325,584423.4390342897,5789714.672437899,2287,2182,True
7326,584423.0781381615,5789713.3146085115,2287,2184,True
7327,584422.7172420332,5789711.956779125,2286,2185,True
7328,584422.356345905,5789710.598949738,2286,2187,True
